id,batchId,xRotation,yRotation,zRotation,xAcceleration,yAcceleration,zAcceleration
1310,14,-0.008255556225776672,0.016777420416474342,-0.021570969372987747,0.029910283163189888,0.44102713465690613,9.607332229614258
1311,14,-0.028228675946593285,0.00905448105186224,-0.020372580736875534,-0.11620145291090012,0.8961120843887329,9.698409080505371
1312,14,0.10133028775453568,0.04553871229290962,-0.02303566411137581,-0.5522933602333069,0.9343972206115723,9.954740524291992
1313,14,-0.028628136962652206,-0.03222329914569855,0.022236740216612816,-0.15463615953922272,0.4721338152885437,9.875627517700195
1314,14,-0.021837277337908745,-0.0063913981430232525,0.02769605815410614,-0.15463615953922272,0.4721338152885437,9.875627517700195
1315,14,-0.09653674066066742,-0.10785484313964844,0.49693119525909424,-0.025274189189076424,0.2564806640148163,9.909276962280273
1316,14,-0.09653674066066742,-0.10785484313964844,0.49693119525909424,-0.837338387966156,4.441378116607666,11.312966346740723
1317,14,-0.09653674066066742,-0.10785484313964844,0.49693119525909424,-1.2756736278533936,5.5458149909973145,11.205140113830566
1318,14,-0.09653674066066742,-0.10785484313964844,0.49693119525909424,-2.2290637493133545,5.8643598556518555,11.070992469787598
1319,14,-0.09653674066066742,-0.10785484313964844,0.49693119525909424,-2.4925734996795654,6.424878120422363,11.00160026550293
1320,14,-0.09653674066066742,-0.10785484313964844,0.49693119525909424,-2.2027428150177,6.824928283691406,11.262717247009277
1321,14,-0.09653674066066742,-0.10785484313964844,0.49693119525909424,-2.241028070449829,6.273981094360352,12.05803108215332
1322,14,-0.09653674066066742,-0.10785484313964844,0.49693119525909424,-2.739333391189575,4.695316314697266,11.789735794067383
1323,14,-0.09653674066066742,-0.10785484313964844,0.49693119525909424,-2.784796953201294,3.4233813285827637,11.243574142456055
1324,14,-0.09653674066066742,-0.10785484313964844,0.49693119525909424,-2.1236300468444824,3.1335508823394775,11.212318420410156
1325,14,-0.09653674066066742,-0.10785484313964844,0.49693119525909424,-1.594218134880066,2.208874464035034,10.900952339172363
1326,14,-0.09653674066066742,-0.10785484313964844,0.49693119525909424,-1.608724594116211,0.8002496361732483,10.606335639953613
1327,14,-0.09653674066066742,-0.10785484313964844,0.49693119525909424,-1.357179045677185,-0.7112665176391602,10.14153003692627
1328,14,-0.09653674066066742,-0.10785484313964844,0.49693119525909424,-1.227817177772522,-1.784447431564331,9.909276962280273
1329,14,-0.09653674066066742,-0.10785484313964844,0.49693119525909424,-0.9786644577980042,-2.464756965637207,9.403793334960938
1330,14,0.197334423661232,-1.0141018629074097,2.5656137466430664,-0.6575775742530823,-2.857628345489502,8.862417221069336
1331,14,0.197334423661232,-1.0141018629074097,2.5656137466430664,-0.789332389831543,-4.457828521728516,8.325826644897461
1332,14,0.197334423661232,-1.0141018629074097,2.5656137466430664,-0.37731823325157166,-5.916702747344971,8.37129020690918
1333,14,0.197334423661232,-1.0141018629074097,2.5656137466430664,0.24302105605602264,-6.2113189697265625,8.146215438842773
1334,14,0.197334423661232,-1.0141018629074097,2.5656137466430664,0.9329017400741577,-5.691478252410889,7.597510814666748
1335,14,0.197334423661232,-1.0141018629074097,2.5656137466430664,0.9641579985618591,-5.722734451293945,6.864559650421143
1336,14,0.197334423661232,-1.0141018629074097,2.5656137466430664,1.4935699701309204,-6.628118515014648,6.577121734619141
1337,14,0.197334423661232,-1.0141018629074097,2.5656137466430664,2.406132698059082,-7.016204833984375,6.687341213226318
1338,14,0.197334423661232,-1.0141018629074097,2.5656137466430664,3.182304620742798,-7.392326354980469,6.83105993270874
1339,14,-0.15658925473690033,0.19547025859355927,-0.4798874855041504,3.4386355876922607,-7.114459991455078,6.716054916381836
1340,14,-0.15658925473690033,0.19547025859355927,-0.4798874855041504,3.5632119178771973,-6.783801555633545,6.442974090576172
1341,14,-0.15658925473690033,0.19547025859355927,-0.4798874855041504,3.4697422981262207,-6.91555643081665,6.378218173980713
